,age,overall,diff,positioning,fk_accuracy,dribbling,long_passing,agility,ball_control,stamina,strength,interceptions,vision,short_passing,curve,aggression,composure,standing_tackle
23,3.258096538021482,4.382026634673881,1.0986122886681098,4.343805421853684,4.174387269895637,4.442651256490317,4.382026634673881,4.356708826689592,4.442651256490317,4.2626798770413155,4.02535169073515,4.31748811353631,4.418840607796598,4.430816798843313,4.382026634673881,4.02535169073515,4.31748811353631,4.276666119016055
24,3.2188758248682006,4.382026634673881,1.0986122886681098,4.330733340286331,4.276666119016055,4.454347296253507,4.31748811353631,4.442651256490317,4.442651256490317,4.30406509320417,4.060443010546419,3.9512437185814275,4.382026634673881,4.343805421853684,4.382026634673881,4.31748811353631,4.382026634673881,3.9512437185814275
25,3.2188758248682006,4.330733340286331,1.6094379124341003,4.276666119016055,4.110873864173311,4.382026634673881,4.31748811353631,4.343805421853684,4.31748811353631,4.48863636973214,4.330733340286331,4.290459441148391,4.31748811353631,4.330733340286331,4.189654742026425,4.330733340286331,4.1588830833596715,4.31748811353631
26,3.2188758248682006,4.3694478524670215,1.0986122886681098,4.356708826689592,4.219507705176107,4.356708826689592,4.406719247264253,4.356708826689592,4.3694478524670215,4.442651256490317,4.330733340286331,4.290459441148391,4.3694478524670215,4.394449154672439,4.330733340286331,4.290459441148391,4.356708826689592,4.31748811353631
29,3.1780538303479458,4.418840607796598,1.3862943611198906,4.454347296253507,4.219507705176107,4.430816798843313,4.394449154672439,4.31748811353631,4.442651256490317,4.48863636973214,4.290459441148391,4.276666119016055,4.430816798843313,4.418840607796598,4.31748811353631,4.394449154672439,4.465908118654584,4.248495242049359
30,3.1780538303479458,4.3694478524670215,1.3862943611198906,4.330733340286331,4.23410650459726,4.394449154672439,4.276666119016055,4.382026634673881,4.394449154672439,4.2626798770413155,4.189654742026425,4.2626798770413155,4.31748811353631,4.343805421853684,4.343805421853684,4.174387269895637,4.343805421853684,4.248495242049359
32,3.258096538021482,4.356708826689592,1.0986122886681098,4.219507705176107,3.6375861597263857,4.31748811353631,4.31748811353631,4.127134385045092,4.343805421853684,4.418840607796598,4.204692619390966,4.356708826689592,4.290459441148391,4.356708826689592,4.219507705176107,4.30406509320417,4.30406509320417,4.3694478524670215
33,3.1780538303479458,4.430816798843313,1.3862943611198906,4.382026634673881,4.174387269895637,4.477336814478207,4.442651256490317,4.430816798843313,4.454347296253507,4.382026634673881,4.2626798770413155,3.8501476017100584,4.442651256490317,4.430816798843313,4.343805421853684,3.6375861597263857,4.430816798843313,4.007333185232471
34,3.2188758248682006,4.465908118654584,1.0986122886681098,4.418840607796598,4.465908118654584,4.442651256490317,4.465908118654584,4.3694478524670215,4.477336814478207,4.543294782270004,4.204692619390966,4.30406509320417,4.499809670330265,4.477336814478207,4.454347296253507,4.248495242049359,4.454347296253507,4.204692619390966
35,3.258096538021482,4.382026634673881,0.6931471805599453,4.356708826689592,4.382026634673881,4.430816798843313,4.2626798770413155,4.442651256490317,4.430816798843313,4.343805421853684,4.189654742026425,4.189654742026425,4.3694478524670215,4.418840607796598,4.406719247264253,3.9512437185814275,4.356708826689592,3.9889840465642745
36,3.091042453358316,4.2626798770413155,2.3978952727983707,3.4965075614664802,3.713572066704308,4.1588830833596715,4.290459441148391,4.30406509320417,4.2626798770413155,4.2626798770413155,4.30406509320417,4.276666119016055,4.276666119016055,4.219507705176107,4.0943445622221,4.060443010546419,4.290459441148391,4.23410650459726
37,3.258096538021482,4.406719247264253,1.0986122886681098,4.454347296253507,4.465908118654584,4.406719247264253,4.406719247264253,4.465908118654584,4.430816798843313,4.406719247264253,4.31748811353631,3.9512437185814275,4.3694478524670215,4.430816798843313,4.454347296253507,4.204692619390966,4.343805421853684,4.007333185232471
38,3.2188758248682006,4.477336814478207,0.6931471805599453,4.382026634673881,4.110873864173311,4.418840607796598,4.454347296253507,4.430816798843313,4.442651256490317,4.553876891600541,4.204692619390966,4.406719247264253,4.430816798843313,4.465908118654584,4.442651256490317,4.48863636973214,4.442651256490317,4.430816798843313
39,3.1780538303479458,4.356708826689592,1.6094379124341003,4.30406509320417,4.290459441148391,4.406719247264253,4.204692619390966,4.406719247264253,4.406719247264253,4.219507705176107,4.060443010546419,3.367295829986474,4.31748811353631,4.30406509320417,4.330733340286331,3.6635616461296463,4.30406509320417,3.332204510175204
40,3.1780538303479458,4.430816798843313,1.3862943611198906,4.418840607796598,4.248495242049359,4.477336814478207,4.290459441148391,4.477336814478207,4.465908118654584,4.189654742026425,4.1588830833596715,3.1354942159291497,4.3694478524670215,4.356708826689592,4.394449154672439,3.58351893845611,4.330733340286331,3.295836866004329
41,3.1780538303479458,4.394449154672439,1.3862943611198906,4.343805421853684,4.394449154672439,4.430816798843313,4.31748811353631,4.477336814478207,4.442651256490317,4.30406509320417,3.9889840465642745,4.189654742026425,4.394449154672439,4.394449154672439,4.442651256490317,4.143134726391533,4.3694478524670215,4.07753744390572
42,3.1780538303479458,4.382026634673881,1.3862943611198906,4.23410650459726,4.330733340286331,4.330733340286331,4.3694478524670215,4.174387269895637,4.3694478524670215,4.442651256490317,4.356708826689592,4.356708826689592,4.31748811353631,4.394449154672439,4.248495242049359,4.442651256490317,4.276666119016055,4.382026634673881
43,3.1780538303479458,4.343805421853684,1.3862943611198906,4.330733340286331,3.6888794541139363,4.382026634673881,4.189654742026425,4.343805421853684,4.394449154672439,4.30406509320417,4.31748811353631,3.1780538303479458,4.356708826689592,4.382026634673881,4.248495242049359,3.9889840465642745,4.290459441148391,3.258096538021482
44,3.1780538303479458,4.356708826689592,1.791759469228055,4.3694478524670215,4.04305126783455,4.430816798843313,4.394449154672439,4.23410650459726,4.394449154672439,4.30406509320417,4.418840607796598,4.07753744390572,4.382026634673881,4.430816798843313,4.0943445622221,4.3694478524670215,4.382026634673881,4.204692619390966
45,3.1780538303479458,4.3694478524670215,1.791759469228055,4.1588830833596715,3.7376696182833684,4.5217885770490405,3.9889840465642745,4.442651256490317,4.418840607796598,4.343805421853684,4.465908118654584,3.713572066704308,4.23410650459726,4.276666119016055,4.204692619390966,4.248495242049359,4.290459441148391,3.6375861597263857
46,3.1780538303479458,4.3694478524670215,1.6094379124341003,4.356708826689592,4.356708826689592,4.394449154672439,4.343805421853684,4.356708826689592,4.382026634673881,4.31748811353631,4.1588830833596715,3.58351893845611,4.406719247264253,4.394449154672439,4.30406509320417,3.7612001156935624,4.330733340286331,3.332204510175204
47,3.2188758248682006,4.406719247264253,1.0986122886681098,4.418840607796598,4.174387269895637,4.465908118654584,4.174387269895637,4.48863636973214,4.465908118654584,4.3694478524670215,4.1588830833596715,3.871201010907891,4.382026634673881,4.343805421853684,4.406719247264253,4.356708826689592,4.330733340286331,3.970291913552122
48,3.2188758248682006,4.394449154672439,1.0986122886681098,4.3694478524670215,4.143134726391533,4.477336814478207,4.30406509320417,4.430816798843313,4.454347296253507,4.330733340286331,4.30406509320417,3.58351893845611,4.356708826689592,4.394449154672439,4.394449154672439,3.871201010907891,4.290459441148391,3.6109179126442243
49,3.1780538303479458,4.31748811353631,1.791759469228055,4.290459441148391,4.48863636973214,4.343805421853684,4.23410650459726,4.330733340286331,4.31748811353631,4.343805421853684,4.23410650459726,4.0943445622221,4.276666119016055,4.30406509320417,4.465908118654584,4.31748811353631,4.290459441148391,4.23410650459726
50,3.1780538303479458,4.343805421853684,1.3862943611198906,4.248495242049359,4.174387269895637,4.382026634673881,4.356708826689592,4.418840607796598,4.382026634673881,4.2626798770413155,3.9889840465642745,4.31748811353631,4.3694478524670215,4.382026634673881,4.30406509320417,4.330733340286331,4.23410650459726,4.290459441148391
51,3.1354942159291497,4.382026634673881,1.791759469228055,4.30406509320417,4.060443010546419,4.51085950651685,4.189654742026425,4.532599493153256,4.418840607796598,4.343805421853684,4.189654742026425,2.833213344056216,4.290459441148391,4.330733340286331,4.290459441148391,3.58351893845611,4.406719247264253,2.8903717578961645
52,3.1354942159291497,4.394449154672439,1.3862943611198906,4.382026634673881,4.356708826689592,4.356708826689592,4.406719247264253,4.23410650459726,4.418840607796598,4.356708826689592,4.23410650459726,4.290459441148391,4.418840607796598,4.430816798843313,4.394449154672439,4.204692619390966,4.418840607796598,4.2626798770413155
54,3.2188758248682006,4.356708826689592,1.6094379124341003,4.204692619390966,4.007333185232471,4.343805421853684,4.343805421853684,4.330733340286331,4.406719247264253,4.442651256490317,4.02535169073515,4.30406509320417,4.330733340286331,4.430816798843313,4.219507705176107,4.04305126783455,4.30406509320417,4.330733340286331
56,3.1780538303479458,4.330733340286331,1.6094379124341003,4.189654742026425,3.970291913552122,4.406719247264253,4.31748811353631,4.454347296253507,4.394449154672439,4.48863636973214,4.04305126783455,4.343805421853684,4.3694478524670215,4.343805421853684,4.219507705176107,4.219507705176107,4.127134385045092,4.060443010546419
57,3.2188758248682006,4.382026634673881,1.0986122886681098,4.3694478524670215,4.290459441148391,4.330733340286331,4.430816798843313,4.31748811353631,4.406719247264253,4.343805421853684,4.31748811353631,4.330733340286331,4.382026634673881,4.406719247264253,4.189654742026425,4.394449154672439,4.30406509320417,4.343805421853684
58,3.2188758248682006,4.3694478524670215,1.0986122886681098,4.110873864173311,4.07753744390572,4.330733340286331,4.3694478524670215,4.248495242049359,4.394449154672439,4.51085950651685,4.204692619390966,4.31748811353631,4.30406509320417,4.394449154672439,3.871201010907891,4.2626798770413155,4.204692619390966,4.356708826689592
59,3.2188758248682006,4.3694478524670215,0.6931471805599453,4.07753744390572,3.6109179126442243,4.343805421853684,4.290459441148391,4.1588830833596715,4.343805421853684,4.356708826689592,4.465908118654584,4.3694478524670215,4.248495242049359,4.356708826689592,3.9318256327243257,4.442651256490317,4.343805421853684,4.394449154672439
60,3.1780538303479458,4.330733340286331,1.9459101490553132,4.382026634673881,4.143134726391533,4.31748811353631,4.060443010546419,4.356708826689592,4.30406509320417,4.248495242049359,4.1588830833596715,3.332204510175204,4.31748811353631,4.31748811353631,4.290459441148391,3.784189633918261,4.2626798770413155,2.9444389791664403
61,3.091042453358316,4.330733340286331,1.9459101490553132,4.31748811353631,4.174387269895637,4.382026634673881,4.174387269895637,4.356708826689592,4.356708826689592,4.23410650459726,4.127134385045092,3.7612001156935624,4.330733340286331,4.356708826689592,4.290459441148391,4.1588830833596715,4.356708826689592,3.8918202981106265
62,3.1354942159291497,4.382026634673881,1.6094379124341003,4.31748811353631,4.330733340286331,4.406719247264253,4.356708826689592,4.330733340286331,4.394449154672439,4.465908118654584,4.127134385045092,4.3694478524670215,4.3694478524670215,4.3694478524670215,4.418840607796598,4.356708826689592,4.23410650459726,4.343805421853684
63,3.1354942159291497,4.394449154672439,1.3862943611198906,4.3694478524670215,4.430816798843313,4.394449154672439,4.406719247264253,4.454347296253507,4.430816798843313,4.31748811353631,3.8918202981106265,3.784189633918261,4.477336814478207,4.430816798843313,4.442651256490317,4.127134385045092,4.406719247264253,4.174387269895637
64,3.1354942159291497,4.343805421853684,1.791759469228055,4.356708826689592,4.442651256490317,4.343805421853684,4.204692619390966,4.3694478524670215,4.330733340286331,4.276666119016055,3.9889840465642745,3.4657359027997265,4.31748811353631,4.330733340286331,4.454347296253507,3.7376696182833684,4.31748811353631,3.871201010907891
65,3.1780538303479458,4.31748811353631,1.791759469228055,4.1588830833596715,4.219507705176107,4.31748811353631,4.343805421853684,3.9889840465642745,4.31748811353631,4.454347296253507,4.406719247264253,4.418840607796598,4.219507705176107,4.330733340286331,4.30406509320417,4.406719247264253,4.30406509320417,4.394449154672439
66,3.1780538303479458,4.406719247264253,1.3862943611198906,4.382026634673881,4.330733340286331,4.430816798843313,4.382026634673881,4.3694478524670215,4.454347296253507,4.330733340286331,4.110873864173311,3.8066624897703196,4.394449154672439,4.394449154672439,4.418840607796598,3.8066624897703196,4.406719247264253,3.7376696182833684
67,3.2188758248682006,4.394449154672439,1.3862943611198906,4.30406509320417,4.248495242049359,4.465908118654584,4.330733340286331,4.48863636973214,4.477336814478207,4.3694478524670215,4.04305126783455,4.330733340286331,4.382026634673881,4.442651256490317,4.1588830833596715,4.356708826689592,4.394449154672439,4.1588830833596715
68,3.044522437723423,4.330733340286331,1.9459101490553132,4.276666119016055,3.6888794541139363,4.290459441148391,4.276666119016055,4.418840607796598,4.31748811353631,4.382026634673881,4.276666119016055,3.044522437723423,4.30406509320417,4.394449154672439,3.9512437185814275,3.8918202981106265,4.189654742026425,3.1354942159291497
69,3.1354942159291497,4.418840607796598,1.3862943611198906,4.430816798843313,4.174387269895637,4.330733340286331,4.3694478524670215,4.276666119016055,4.442651256490317,4.5217885770490405,4.330733340286331,4.290459441148391,4.406719247264253,4.406719247264253,4.356708826689592,4.31748811353631,4.442651256490317,4.30406509320417
70,3.044522437723423,4.343805421853684,2.3978952727983707,3.828641396489095,3.5263605246161616,4.174387269895637,4.343805421853684,4.30406509320417,4.330733340286331,4.330733340286331,4.276666119016055,4.3694478524670215,3.9512437185814275,4.382026634673881,3.784189633918261,4.330733340286331,4.406719247264253,4.356708826689592
71,3.2188758248682006,4.382026634673881,1.3862943611198906,3.9318256327243257,4.07753744390572,4.2626798770413155,4.356708826689592,4.174387269895637,4.330733340286331,4.343805421853684,4.31748811353631,4.394449154672439,4.276666119016055,4.3694478524670215,4.1588830833596715,4.394449154672439,4.418840607796598,4.418840607796598
72,3.1354942159291497,4.290459441148391,2.0794415416798357,4.2626798770413155,3.8918202981106265,4.356708826689592,4.174387269895637,4.5217885770490405,4.343805421853684,4.02535169073515,3.4965075614664802,3.044522437723423,4.31748811353631,4.290459441148391,4.189654742026425,3.6375861597263857,4.330733340286331,2.8903717578961645
73,3.1780538303479458,4.382026634673881,1.0986122886681098,4.356708826689592,4.174387269895637,4.394449154672439,4.174387269895637,4.499809670330265,4.382026634673881,4.330733340286331,4.04305126783455,3.8066624897703196,4.276666119016055,4.290459441148391,4.276666119016055,4.1588830833596715,4.30406509320417,3.5553480614894135
74,3.1780538303479458,4.3694478524670215,1.0986122886681098,4.04305126783455,3.828641396489095,4.30406509320417,4.394449154672439,4.330733340286331,4.356708826689592,4.343805421853684,4.127134385045092,4.382026634673881,4.343805421853684,4.454347296253507,4.143134726391533,4.1588830833596715,4.418840607796598,4.356708826689592
75,3.091042453358316,4.356708826689592,1.791759469228055,4.04305126783455,4.0943445622221,4.31748811353631,4.343805421853684,4.174387269895637,4.3694478524670215,4.276666119016055,4.219507705176107,4.3694478524670215,4.343805421853684,4.3694478524670215,4.189654742026425,4.248495242049359,4.219507705176107,4.356708826689592
76,3.1780538303479458,4.330733340286331,1.9459101490553132,4.30406509320417,4.276666119016055,4.330733340286331,4.290459441148391,4.30406509320417,4.356708826689592,4.276666119016055,4.219507705176107,3.091042453358316,4.343805421853684,4.356708826689592,4.127134385045092,3.6635616461296463,4.382026634673881,3.4011973816621555
77,3.1780538303479458,4.343805421853684,1.3862943611198906,4.219507705176107,4.3694478524670215,4.330733340286331,4.30406509320417,4.418840607796598,4.406719247264253,4.343805421853684,4.127134385045092,4.2626798770413155,4.343805421853684,4.406719247264253,4.31748811353631,4.276666119016055,4.330733340286331,4.276666119016055
78,3.1780538303479458,4.3694478524670215,1.6094379124341003,4.1588830833596715,4.219507705176107,4.394449154672439,4.382026634673881,4.418840607796598,4.406719247264253,4.3694478524670215,4.110873864173311,4.330733340286331,4.394449154672439,4.430816798843313,4.290459441148391,4.343805421853684,4.418840607796598,4.330733340286331
79,3.1780538303479458,4.31748811353631,1.9459101490553132,4.174387269895637,3.6888794541139363,4.204692619390966,4.290459441148391,4.454347296253507,4.290459441148391,4.442651256490317,3.4339872044851463,4.290459441148391,4.23410650459726,4.343805421853684,3.7612001156935624,4.394449154672439,4.31748811353631,4.3694478524670215
80,3.1780538303479458,4.442651256490317,1.6094379124341003,4.430816798843313,4.406719247264253,4.477336814478207,4.1588830833596715,4.430816798843313,4.442651256490317,4.248495242049359,4.23410650459726,3.5263605246161616,4.406719247264253,4.394449154672439,4.418840607796598,4.110873864173311,4.382026634673881,3.4657359027997265
81,3.1354942159291497,4.382026634673881,1.6094379124341003,4.330733340286331,4.143134726391533,4.418840607796598,4.382026634673881,4.356708826689592,4.442651256490317,4.343805421853684,4.174387269895637,4.330733340286331,4.406719247264253,4.406719247264253,4.343805421853684,4.330733340286331,4.382026634673881,4.31748811353631
82,3.044522437723423,4.418840607796598,1.791759469228055,4.343805421853684,4.418840607796598,4.454347296253507,4.394449154672439,4.442651256490317,4.442651256490317,4.382026634673881,4.007333185232471,4.174387269895637,4.465908118654584,4.418840607796598,4.394449154672439,4.1588830833596715,4.330733340286331,3.8918202981106265
83,3.1354942159291497,4.31748811353631,1.791759469228055,4.23410650459726,4.1588830833596715,4.356708826689592,4.23410650459726,4.442651256490317,4.330733340286331,4.2626798770413155,3.871201010907891,3.367295829986474,4.2626798770413155,4.31748811353631,4.23410650459726,3.871201010907891,4.204692619390966,3.713572066704308
84,3.1780538303479458,4.394449154672439,1.6094379124341003,4.418840607796598,4.02535169073515,4.465908118654584,4.204692619390966,4.465908118654584,4.394449154672439,4.31748811353631,4.0943445622221,3.58351893845611,4.31748811353631,4.31748811353631,4.330733340286331,3.7612001156935624,4.3694478524670215,3.4965075614664802
85,3.044522437723423,4.406719247264253,1.9459101490553132,4.356708826689592,4.394449154672439,4.442651256490317,4.290459441148391,4.5217885770490405,4.442651256490317,4.30406509320417,4.1588830833596715,3.258096538021482,4.394449154672439,4.382026634673881,4.343805421853684,3.970291913552122,4.356708826689592,3.332204510175204
86,3.2188758248682006,4.343805421853684,1.3862943611198906,4.31748811353631,4.07753744390572,4.356708826689592,4.356708826689592,4.23410650459726,4.382026634673881,4.330733340286331,4.31748811353631,4.276666119016055,4.30406509320417,4.382026634673881,4.23410650459726,4.330733340286331,4.30406509320417,4.276666119016055
88,3.2188758248682006,4.442651256490317,1.3862943611198906,4.3694478524670215,4.31748811353631,4.454347296253507,4.442651256490317,4.1588830833596715,4.477336814478207,4.442651256490317,4.477336814478207,4.356708826689592,4.442651256490317,4.442651256490317,4.356708826689592,4.3694478524670215,4.430816798843313,4.3694478524670215
89,3.2188758248682006,4.382026634673881,1.0986122886681098,4.290459441148391,4.23410650459726,4.3694478524670215,4.394449154672439,4.343805421853684,4.406719247264253,4.382026634673881,4.060443010546419,4.394449154672439,4.343805421853684,4.418840607796598,4.330733340286331,3.9512437185814275,4.356708826689592,4.430816798843313
90,3.1780538303479458,4.394449154672439,1.3862943611198906,4.219507705176107,4.276666119016055,4.343805421853684,4.31748811353631,4.442651256490317,4.3694478524670215,4.418840607796598,4.204692619390966,4.418840607796598,4.30406509320417,4.382026634673881,4.248495242049359,4.454347296253507,4.356708826689592,4.418840607796598
91,3.091042453358316,4.276666119016055,2.3978952727983707,4.127134385045092,4.219507705176107,4.330733340286331,4.248495242049359,4.454347296253507,4.31748811353631,4.31748811353631,3.8066624897703196,3.6375861597263857,4.31748811353631,4.276666119016055,4.356708826689592,3.8066624897703196,4.31748811353631,3.8918202981106265
92,3.1780538303479458,4.330733340286331,1.791759469228055,4.189654742026425,4.204692619390966,4.174387269895637,4.356708826689592,4.219507705176107,4.276666119016055,4.442651256490317,4.394449154672439,4.290459441148391,4.219507705176107,4.290459441148391,3.9512437185814275,4.430816798843313,4.343805421853684,4.343805421853684
93,3.1354942159291497,4.343805421853684,1.9459101490553132,4.174387269895637,3.970291913552122,4.394449154672439,4.31748811353631,4.219507705176107,4.382026634673881,4.454347296253507,4.3694478524670215,4.356708826689592,4.31748811353631,4.382026634673881,4.174387269895637,4.406719247264253,4.406719247264253,4.330733340286331
94,3.1780538303479458,4.3694478524670215,1.791759469228055,4.330733340286331,4.343805421853684,4.343805421853684,4.219507705176107,4.5217885770490405,4.330733340286331,4.51085950651685,4.290459441148391,3.8918202981106265,4.343805421853684,4.330733340286331,4.356708826689592,4.02535169073515,4.248495242049359,3.6888794541139363
95,3.1354942159291497,4.406719247264253,1.6094379124341003,4.174387269895637,4.430816798843313,4.330733340286331,4.465908118654584,4.174387269895637,4.406719247264253,4.356708826689592,4.204692619390966,4.343805421853684,4.454347296253507,4.454347296253507,4.442651256490317,4.406719247264253,4.418840607796598,4.31748811353631
96,3.2188758248682006,4.3694478524670215,1.0986122886681098,4.23410650459726,4.394449154672439,4.3694478524670215,4.394449154672439,4.204692619390966,4.382026634673881,4.3694478524670215,4.290459441148391,4.23410650459726,4.382026634673881,4.406719247264253,4.418840607796598,4.382026634673881,4.31748811353631,4.330733340286331
97,3.1354942159291497,4.343805421853684,1.9459101490553132,4.3694478524670215,4.204692619390966,4.3694478524670215,4.1588830833596715,4.394449154672439,4.356708826689592,4.3694478524670215,4.127134385045092,3.6109179126442243,4.30406509320417,4.276666119016055,4.23410650459726,4.02535169073515,4.276666119016055,3.6888794541139363
98,3.1354942159291497,4.394449154672439,1.791759469228055,4.343805421853684,4.248495242049359,4.418840607796598,4.23410650459726,4.382026634673881,4.382026634673881,4.290459441148391,4.219507705176107,3.912023005428146,4.343805421853684,4.343805421853684,4.330733340286331,4.204692619390966,4.382026634673881,3.5263605246161616
99,3.1354942159291497,4.343805421853684,2.1972245773362196,4.276666119016055,4.1588830833596715,4.430816798843313,4.23410650459726,4.454347296253507,4.394449154672439,4.219507705176107,4.143134726391533,3.713572066704308,4.219507705176107,4.290459441148391,4.356708826689592,4.02535169073515,4.290459441148391,3.7376696182833684
100,3.1354942159291497,4.382026634673881,1.791759469228055,4.406719247264253,4.060443010546419,4.430816798843313,4.219507705176107,4.465908118654584,4.430816798843313,4.3694478524670215,4.290459441148391,3.9889840465642745,4.30406509320417,4.276666119016055,4.330733340286331,4.442651256490317,4.430816798843313,3.9889840465642745
101,3.1354942159291497,4.276666119016055,2.1972245773362196,4.174387269895637,3.4657359027997265,4.330733340286331,4.143134726391533,4.51085950651685,4.290459441148391,4.23410650459726,3.970291913552122,3.091042453358316,4.248495242049359,4.23410650459726,4.127134385045092,3.7612001156935624,4.23410650459726,2.995732273553991
102,3.091042453358316,4.31748811353631,2.3978952727983707,4.248495242049359,3.8918202981106265,4.418840607796598,4.0943445622221,4.442651256490317,4.356708826689592,4.204692619390966,3.9889840465642745,3.8066624897703196,3.9889840465642745,4.276666119016055,4.0943445622221,3.6109179126442243,4.02535169073515,3.871201010907891
